t_abs_s,force_N,state,block,trial_idx
187.623107,2.3113,idle,,0
187.627473,2.3113,idle,,0
187.629598,2.3113,idle,,0
187.631854,2.3113,idle,,0
187.638965,2.3113,idle,,0
187.64756,2.3113,idle,,0
187.655828,2.2622,idle,,0
187.664443,2.2622,idle,,0
187.672934,2.2622,idle,,0
187.681298,2.2622,idle,,0
187.689361,2.2622,idle,,0
187.698033,2.2622,idle,,0
187.706195,2.2622,idle,,0
187.714427,2.2622,idle,,0
187.722747,2.2622,idle,,0
187.730799,2.2622,idle,,0
187.739332,2.2622,idle,,0
187.747595,2.2622,idle,,0
187.75586,2.2949,idle,,0
187.764252,2.2949,idle,,0
187.772556,2.2949,idle,,0
187.780817,2.2949,idle,,0
187.789317,2.2949,idle,,0
187.797512,2.2949,idle,,0
187.806244,2.2949,idle,,0
187.814436,2.2949,idle,,0
187.822841,2.2949,idle,,0
187.830736,2.2949,idle,,0
187.839498,2.2949,idle,,0
187.848156,2.2949,idle,,0
187.856053,2.2295,idle,,0
187.864409,2.2295,idle,,0
187.872509,2.2295,idle,,0
187.880847,2.2295,idle,,0
187.889181,2.2295,idle,,0
187.897708,2.2295,idle,,0
187.905787,2.2295,idle,,0
187.914291,2.2295,idle,,0
187.922384,2.2295,idle,,0
187.930699,2.2295,idle,,0
187.939184,2.2295,idle,,0
187.947643,2.2295,idle,,0
187.956089,2.2458,idle,,0
187.964145,2.2458,idle,,0
187.972905,2.2458,idle,,0
187.980762,2.2458,idle,,0
187.989289,2.2458,idle,,0
187.997706,2.2458,idle,,0
188.005548,2.2458,idle,,0
188.014171,2.2458,idle,,0
188.022538,2.2458,idle,,0
188.030771,2.2458,idle,,0
188.039076,2.2458,idle,,0
188.047552,2.2458,idle,,0
188.056433,2.1313,idle,,0
188.064185,2.1313,idle,,0
188.072616,2.1313,idle,,0
188.080678,2.1313,idle,,0
188.089526,2.1313,idle,,0
188.097698,2.1313,idle,,0
188.105637,2.1313,idle,,0
188.114159,2.1313,idle,,0
188.122502,2.1313,idle,,0
188.130669,2.1313,idle,,0
188.139063,2.1313,idle,,0
188.147659,2.1313,idle,,0
